,threshold,C_FP,C_FN,TP,FP,FN,TN,Cost,Mean_alerts,Sens,Spec,Precision,F1,Youden
0,0.0,1,1,524,355,0,0,355,1.0,1.0,0.0,0.59613196814562,0.7469707769066286,0.0
1,0.001,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
2,0.002,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
3,0.003,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
4,0.004,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
5,0.005,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
6,0.006,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
7,0.007,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
8,0.008,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
9,0.009000000000000001,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
10,0.01,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
11,0.011,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
12,0.012,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
13,0.013000000000000001,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
14,0.014,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
15,0.015,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
16,0.016,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
17,0.017,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
18,0.018000000000000002,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
19,0.019,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
20,0.02,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
21,0.021,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
22,0.022,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
23,0.023,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
24,0.024,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
25,0.025,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
26,0.026000000000000002,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
27,0.027,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
28,0.028,1,1,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
